Image;Average;Deviation STD;;
Mask-perfect.csv;0,118261;0,165661;;
Backpack-perfect.csv;0,230896;0,188121;;
Storage-perfect.csv;0,241835;0,165593;;
Vintage-perfect.csv;0,302933;0,13071;;8,573330
Jadeplant-perfect.csv;0,30965;0,215063;;
Shelves-perfect.csv;0,30997;0,180741;;
Motorcycle-perfect.csv;0,315389;0,279789;;
Sword1-perfect.csv;0,320133;0,195116;;
Recycle-perfect.csv;0,326353;0,22231;;
Pipes-perfect.csv;0,37603;0,217308;;
Piano-perfect.csv;0,38345;0,216605;;
Playtable-perfect.csv;0,38805;0,213588;;
Umbrella-perfect.csv;0,389658;0,305587;;
Cable-perfect.csv;0,396486;0,25163;;
Playroom-perfect.csv;0,397436;0,250843;;
Sticks-perfect.csv;0,464201;0,196398;;
Couch-perfect.csv;0,466736;0,195751;;
Sword2-perfect.csv;0,481396;0,303431;;
Classroom1-perfect.csv;0,504753;0,206567;;
Flowers-perfect.csv;0,510837;0,303093;;
Bicycle1-perfect.csv;0,528033;0,285629;;
Shopvac-perfect.csv;0,556089;0,295148;;
Adirondack-perfect.csv;0,627771;0,273936;;
